dataset	nb_rows	column	value	type	nb_levels	is_row	description	controlled_term	units	term_url
ds000009	24	b_SSRTquant	n/a	float64	24	True	n/a	n/a	n/a	n/a
ds000009	24	b_NumPumps_Avg	n/a	float64	23	True	n/a	n/a	n/a	n/a
ds000009	24	b_TotalAmt_Avg	n/a	float64	23	True	n/a	n/a	n/a	n/a
ds000009	24	b_NumExplAvg	n/a	float64	15	True	n/a	n/a	n/a	n/a
ds000009	24	b_k	n/a	float64	22	True	n/a	n/a	n/a	n/a
ds000009	24	b_AN-SN	n/a	float64	21	True	n/a	n/a	n/a	n/a
ds000009	24	GABS_TOTAL	n/a	int64	17	True	n/a	n/a	n/a	n/a
ds000009	24	CARE_ENGAGING-DRUG	n/a	int64	8	True	n/a	n/a	n/a	n/a
ds000009	24	CARE_ENGAGING-AGGR/ILLEG	n/a	int64	17	True	n/a	n/a	n/a	n/a
ds000009	24	CARE_ENGAGING-SEX	n/a	int64	8	True	n/a	n/a	n/a	n/a
ds000009	24	CARE_ENGAGING-DRINKING	n/a	int64	12	True	n/a	n/a	n/a	n/a
ds000009	24	CARE_ENGAGING-SPORTS	n/a	int64	12	True	n/a	n/a	n/a	n/a
ds000009	24	CARE_ENGAGING-TOTAL	n/a	int64	21	True	n/a	n/a	n/a	n/a
ds000009	24	CARE_NEGCONS-DRUG	n/a	int64	12	True	n/a	n/a	n/a	n/a
ds000009	24	CARE_NEGCONS-AGGR/ILLEG	n/a	int64	20	True	n/a	n/a	n/a	n/a
ds000009	24	CARE_NEGCONS-SEX	n/a	int64	18	True	n/a	n/a	n/a	n/a
ds000009	24	CARE_NEGCONS-DRINKING	n/a	int64	13	True	n/a	n/a	n/a	n/a
ds000009	24	CARE_NEGCONS-SPORTS	n/a	int64	10	True	n/a	n/a	n/a	n/a
ds000009	24	CARE_NEGCONS-TOTAL	n/a	int64	19	True	n/a	n/a	n/a	n/a
ds000009	24	CARE_POSCONS-DRUG	n/a	int64	10	True	n/a	n/a	n/a	n/a
ds000009	24	CARE_POSCONS-AGGR/ILLEG	n/a	int64	12	True	n/a	n/a	n/a	n/a
ds000009	24	CARE_POSCONS-SEX	n/a	int64	16	True	n/a	n/a	n/a	n/a
ds000009	24	CARE_POSCONS-DRINKING	n/a	int64	12	True	n/a	n/a	n/a	n/a
ds000009	24	CARE_POSCONS-SPORTS	n/a	int64	13	True	n/a	n/a	n/a	n/a
ds000009	24	CARE_POSCONS-TOTAL	n/a	int64	21	True	n/a	n/a	n/a	n/a
ds000009	24	NEED	n/a	int64	16	True	n/a	n/a	n/a	n/a
ds000009	24	FOR	n/a	int64	4	True	n/a	n/a	n/a	n/a
ds000009	24	COG_TOTAL	n/a	int64	6	True	n/a	n/a	n/a	n/a
ds000009	24	COG	n/a	int64	4	True	n/a	n/a	n/a	n/a
ds000009	24	REFLECTION_NUM	n/a	int64	17	True	n/a	n/a	n/a	n/a
ds000009	24	CORR	n/a	int64	21	True	n/a	n/a	n/a	n/a
ds000009	24	COG.1	n/a	int64	18	True	n/a	n/a	n/a	n/a
ds000009	24	REFLECTION_CONFIDENCE	n/a	int64	20	True	n/a	n/a	n/a	n/a
ds000009	24	COG.2	n/a	int64	24	True	n/a	n/a	n/a	n/a
ds000009	24	REFLECTION_NUM.1	n/a	int64	12	True	n/a	n/a	n/a	n/a
ds000009	24	SEEN	n/a	int64	12	True	n/a	n/a	n/a	n/a
ds000009	24	SENS	n/a	int64	11	True	n/a	n/a	n/a	n/a
ds000009	24	SEEK_BOREDOM	n/a	int64	16	True	n/a	n/a	n/a	n/a
ds000009	24	SENS.1	n/a	int64	8	True	n/a	n/a	n/a	n/a
ds000009	24	SEEK_DISINHIB	n/a	int64	11	True	n/a	n/a	n/a	n/a
ds000009	24	SENS.2	n/a	int64	8	True	n/a	n/a	n/a	n/a
ds000009	24	SEEK_EXP	n/a	int64	13	True	n/a	n/a	n/a	n/a
ds000009	24	SEEK	n/a	int64	14	True	n/a	n/a	n/a	n/a
ds000009	24	SENS.3	n/a	int64	13	True	n/a	n/a	n/a	n/a
ds000009	24	SEEK_THRILL	n/a	int64	15	True	n/a	n/a	n/a	n/a
ds000009	24	SEEK.1	n/a	int64	16	True	n/a	n/a	n/a	n/a
ds000009	24	SENS.4	n/a	int64	19	True	n/a	n/a	n/a	n/a
ds000009	24	SEEK_TOTAL	n/a	int64	14	True	n/a	n/a	n/a	n/a
ds000009	24	BIS_ATTN	n/a	int64	21	True	n/a	n/a	n/a	n/a
ds000009	24	BIS_MOTOR	n/a	int64	14	True	n/a	n/a	n/a	n/a
ds000009	24	BIS_NP	n/a	int64	14	True	n/a	n/a	n/a	n/a
ds000009	24	BIS_TOTAL	n/a	int64	14	True	n/a	n/a	n/a	n/a
ds000009	24	BIS/BAS_BAS-REWRESP	n/a	int64	15	True	n/a	n/a	n/a	n/a
ds000009	24	BIS/BAS_BAS-FUNSEEK	n/a	int64	14	True	n/a	n/a	n/a	n/a
ds000009	24	BIS/BAS_BAS-DRIVE	n/a	int64	20	True	n/a	n/a	n/a	n/a
ds000009	24	BIS/BAS_BAS	n/a	int64	14	True	n/a	n/a	n/a	n/a
ds000009	24	TOTAL	n/a	int64	15	True	n/a	n/a	n/a	n/a
ds000009	24	BIS/BAS_BIS	n/a	int64	11	True	n/a	n/a	n/a	n/a
ds000009	24	DOSPERT_RT-ETH	n/a	int64	16	True	n/a	n/a	n/a	n/a
ds000009	24	DOSPERT_RT-FIN	n/a	int64	15	True	n/a	n/a	n/a	n/a
ds000009	24	DOSPERT_RT-HLTH/SAF	n/a	int64	22	True	n/a	n/a	n/a	n/a
ds000009	24	DOSPERT_RT-REC	n/a	int64	4	True	n/a	n/a	n/a	n/a
ds000009	24	DOSPERT_RT-SOC	n/a	int64	6	True	n/a	n/a	n/a	n/a
ds000009	24	DOSPERT_RT-TOTAL	n/a	int64	5	True	n/a	n/a	n/a	n/a
ds000009	24	DOSPERT_RP-ETH	n/a	int64	5	True	n/a	n/a	n/a	n/a
ds000009	24	DOSPERT_RP-FIN	n/a	int64	5	True	n/a	n/a	n/a	n/a
ds000009	24	DOSPERT_RP-HLTH/SAF	n/a	int64	3	True	n/a	n/a	n/a	n/a
ds000009	24	DOSPERT_RP-REC	n/a	int64	5	True	n/a	n/a	n/a	n/a
ds000009	24	DOSPERT_RP-SOC	n/a	int64	3	True	n/a	n/a	n/a	n/a
ds000009	24	DOSPERT_RP-TOTAL	n/a	int64	5	True	n/a	n/a	n/a	n/a
ds000009	24	DOSPERT_EB-ETH	n/a	int64	6	True	n/a	n/a	n/a	n/a
ds000009	24	DOSPERT_EB-FIN	n/a	int64	4	True	n/a	n/a	n/a	n/a
ds000009	24	DOSPERT_EB-HLTH/SAF	n/a	int64	7	True	n/a	n/a	n/a	n/a
ds000009	24	DOSPERT_EB-REC	n/a	int64	3	True	n/a	n/a	n/a	n/a
ds000009	24	DOSPERT_EB-SOC	n/a	int64	4	True	n/a	n/a	n/a	n/a
ds000009	24	DOSPERT_EB-TOTAL	n/a	int64	7	True	n/a	n/a	n/a	n/a
ds000009	24	PANAS_(Post-Pre)-Interested	n/a	int64	5	True	n/a	n/a	n/a	n/a
ds000009	24	PANAS_(Post-Pre)-Distressed	n/a	int64	5	True	n/a	n/a	n/a	n/a
ds000009	24	PANAS_(Post-Pre)-Excited	n/a	int64	6	True	n/a	n/a	n/a	n/a
ds000009	24	PANAS_(Post-Pre)-Upset	n/a	int64	5	True	n/a	n/a	n/a	n/a
ds000009	24	PANAS_(Post-Pre)-Strong	n/a	int64	6	True	n/a	n/a	n/a	n/a
ds000011	14	participant_id	n/a	object	14	True	n/a	nb:ParticipantID	n/a	n/a
ds000011	14	sex	n/a	object	2	True	n/a	nb:Sex	n/a	n/a
ds000011	14	sex	M	n/a	0	False	n/a	n/a	n/a	n/a
ds000011	14	sex	F	n/a	0	False	n/a	n/a	n/a	n/a
ds000011	14	age	n/a	int64	9	True	n/a	n/a	n/a	n/a
ds000017	8	participant_id	n/a	object	8	True	n/a	nb:ParticipantID	n/a	n/a
ds000017	8	sex	n/a	object	3	True	n/a	nb:Sex	n/a	n/a
ds000017	8	sex	M	n/a	0	False	n/a	n/a	n/a	n/a
ds000017	8	sex	F	n/a	0	False	n/a	n/a	n/a	n/a
ds000017	8	sex		n/a	0	False	n/a	n/a	n/a	n/a
ds000017	8	age	n/a	float64	5	True	n/a	n/a	n/a	n/a
ds000030	272	participant_id	n/a	object	272	True	n/a	nb:ParticipantID	n/a	n/a
ds000030	272	diagnosis	n/a	object	4	True	n/a	n/a	n/a	n/a
ds000030	272	diagnosis	SCHZ	n/a	0	False	n/a	n/a	n/a	n/a
ds000030	272	diagnosis	BIPOLAR	n/a	0	False	n/a	n/a	n/a	n/a
ds000030	272	diagnosis	ADHD	n/a	0	False	n/a	n/a	n/a	n/a
ds000030	272	diagnosis	CONTROL	n/a	0	False	n/a	n/a	n/a	n/a
ds000030	272	age	n/a	int64	30	True	n/a	n/a	n/a	n/a
ds000030	272	gender	n/a	object	2	True	n/a	nb:Sex	n/a	n/a
ds000030	272	gender	F	n/a	0	False	n/a	n/a	n/a	n/a
ds000030	272	gender	M	n/a	0	False	n/a	n/a	n/a	n/a
ds000030	272	bart	n/a	float64	2	True	n/a	n/a	n/a	n/a
ds000030	272	bht	n/a	float64	2	True	n/a	n/a	n/a	n/a
ds000030	272	dwi	n/a	float64	2	True	n/a	n/a	n/a	n/a
ds000030	272	pamenc	n/a	float64	2	True	n/a	n/a	n/a	n/a
ds000030	272	pamret	n/a	float64	2	True	n/a	n/a	n/a	n/a
ds000030	272	rest	n/a	float64	2	True	n/a	n/a	n/a	n/a
ds000030	272	scap	n/a	float64	2	True	n/a	n/a	n/a	n/a
ds000030	272	stopsignal	n/a	float64	2	True	n/a	n/a	n/a	n/a
ds000030	272	T1w	n/a	float64	2	True	n/a	n/a	n/a	n/a
ds000030	272	taskswitch	n/a	float64	2	True	n/a	n/a	n/a	n/a
ds000030	272	ScannerSerialNumber	n/a	float64	2	True	n/a	n/a	n/a	n/a
ds000030	272	ghost_NoGhost	n/a	object	2	True	n/a	n/a	n/a	n/a
ds000030	272	ghost_NoGhost	No_ghost	n/a	0	False	n/a	n/a	n/a	n/a
ds000030	272	ghost_NoGhost	ghost	n/a	0	False	n/a	n/a	n/a	n/a
ds000031	1	participant_id	n/a	object	1	True	Participant identifier	nb:ParticipantID	n/a	n/a
ds000031	1	age	n/a	int64	1	True	Age in years (TODO - verify) as in the initial session, might not be correct for other sessions	n/a	n/a	n/a
ds000031	1	sex	n/a	object	1	True	self-rated by participant, M for male/F for female (TODO: verify)	nb:Sex	n/a	n/a
ds000031	1	sex	M	n/a	0	False	n/a	n/a	n/a	n/a
ds000031	1	group	n/a	object	1	True	(TODO: adjust - by default everyone is in control group)	n/a	n/a	n/a
ds000031	1	group	control	n/a	0	False	n/a	n/a	n/a	n/a
ds000053	59	participant_id	n/a	object	59	True	n/a	nb:ParticipantID	n/a	n/a
ds000053	59	gender	n/a	object	2	True	n/a	nb:Sex	n/a	n/a
ds000053	59	gender	M	n/a	0	False	n/a	n/a	n/a	n/a
ds000053	59	gender	F	n/a	0	False	n/a	n/a	n/a	n/a
ds000053	59	age	n/a	int64	13	True	n/a	n/a	n/a	n/a
ds000101	21	participant_id	n/a	object	21	True	n/a	nb:ParticipantID	n/a	n/a
ds000101	21	gender	n/a	object	2	True	n/a	nb:Sex	n/a	n/a
ds000101	21	gender	M	n/a	0	False	n/a	n/a	n/a	n/a
ds000101	21	gender	F	n/a	0	False	n/a	n/a	n/a	n/a
ds000101	21	age	n/a	float64	21	True	n/a	n/a	n/a	n/a
ds000102	26	participant_id	n/a	object	26	True	n/a	nb:ParticipantID	n/a	n/a
ds000102	26	gender	n/a	object	3	True	n/a	nb:Sex	n/a	n/a
ds000102	26	gender	D	n/a	0	False	n/a	n/a	n/a	n/a
ds000102	26	gender	F	n/a	0	False	n/a	n/a	n/a	n/a
ds000102	26	gender	M	n/a	0	False	n/a	n/a	n/a	n/a
ds000102	26	age	n/a	float64	25	True	n/a	n/a	n/a	n/a
ds000108	34	participant_id	n/a	object	34	True	n/a	nb:ParticipantID	n/a	n/a
ds000108	34	sex	n/a	object	2	True	n/a	nb:Sex	n/a	n/a
ds000108	34	sex	F	n/a	0	False	n/a	n/a	n/a	n/a
ds000108	34	sex	M	n/a	0	False	n/a	n/a	n/a	n/a
ds000108	34	age	n/a	int64	12	True	n/a	n/a	n/a	n/a
ds000110	18	participant_id	n/a	object	18	True	n/a	nb:ParticipantID	n/a	n/a
ds000110	18	sex	n/a	object	2	True	n/a	nb:Sex	n/a	n/a
ds000110	18	sex	F	n/a	0	False	n/a	n/a	n/a	n/a
ds000110	18	sex	M	n/a	0	False	n/a	n/a	n/a	n/a
ds000110	18	age	n/a	int64	7	True	n/a	n/a	n/a	n/a
ds000113	37	participant_id	n/a	object	37	True	n/a	nb:ParticipantID	n/a	n/a
ds000113	37	gender	n/a	object	3	True	n/a	nb:Sex	n/a	n/a
ds000113	37	gender	f	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	gender		n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	gender	m	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	age	n/a	nb:range	6	True	n/a	n/a	n/a	n/a
ds000113	37	handedness	n/a	object	4	True	n/a	n/a	n/a	n/a
ds000113	37	handedness	l	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	handedness	r	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	handedness		n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	handedness	r;l	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	hearing_problems_current	n/a	yes_no	2	True	n/a	n/a	n/a	n/a
ds000113	37	hearing_problems_past	n/a	yes_no	3	True	n/a	n/a	n/a	n/a
ds000113	37	absolute_pitch	n/a	float64	4	True	n/a	n/a	n/a	n/a
ds000113	37	german_speak	n/a	float64	2	True	n/a	n/a	n/a	n/a
ds000113	37	german_comprehend	n/a	float64	2	True	n/a	n/a	n/a	n/a
ds000113	37	german_read	n/a	float64	2	True	n/a	n/a	n/a	n/a
ds000113	37	german_write	n/a	float64	2	True	n/a	n/a	n/a	n/a
ds000113	37	english_speak	n/a	float64	3	True	n/a	n/a	n/a	n/a
ds000113	37	english_comprehend	n/a	float64	3	True	n/a	n/a	n/a	n/a
ds000113	37	english_read	n/a	float64	3	True	n/a	n/a	n/a	n/a
ds000113	37	english_write	n/a	float64	3	True	n/a	n/a	n/a	n/a
ds000113	37	french_read	n/a	float64	4	True	n/a	n/a	n/a	n/a
ds000113	37	french_comprehend	n/a	float64	4	True	n/a	n/a	n/a	n/a
ds000113	37	french_read.1	n/a	float64	4	True	n/a	n/a	n/a	n/a
ds000113	37	french_write	n/a	float64	5	True	n/a	n/a	n/a	n/a
ds000113	37	language4_speak	n/a	float64	2	True	n/a	n/a	n/a	n/a
ds000113	37	language4_comprehend	n/a	float64	2	True	n/a	n/a	n/a	n/a
ds000113	37	language4_read	n/a	float64	2	True	n/a	n/a	n/a	n/a
ds000113	37	language4_write	n/a	float64	2	True	n/a	n/a	n/a	n/a
ds000113	37	hörtraining	n/a	float64	3	True	n/a	n/a	n/a	n/a
ds000113	37	music_training_harmonics	n/a	float64	3	True	n/a	n/a	n/a	n/a
ds000113	37	music_training_composition	n/a	float64	3	True	n/a	n/a	n/a	n/a
ds000113	37	music_training_analytics	n/a	float64	3	True	n/a	n/a	n/a	n/a
ds000113	37	music_training_history	n/a	float64	3	True	n/a	n/a	n/a	n/a
ds000113	37	music_training_other	n/a	float64	3	True	n/a	n/a	n/a	n/a
ds000113	37	music_training_improv	n/a	float64	3	True	n/a	n/a	n/a	n/a
ds000113	37	melodic_stability	n/a	float64	4	True	n/a	n/a	n/a	n/a
ds000113	37	listen_preference1_genre	n/a	object	15	True	n/a	n/a	n/a	n/a
ds000113	37	listen_preference1_genre	Alternative/Rock	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference1_genre	Classic Rock	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference1_genre	Hardcore	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference1_genre		n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference1_genre	EBM/Industrial/Electro	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference1_genre	Rock	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference1_genre	Classical	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference1_genre	Charts (Pop;Dance)	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference1_genre	Electro	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference1_genre	Metal	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference1_genre	Pop	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference1_genre	Ambient	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference1_genre	Bluegrass	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference1_genre	Triphop	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference1_genre	Rock/Deutschrock	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference1_duration	n/a	float64	11	True	n/a	n/a	n/a	n/a
ds000113	37	listen_preference2_genre	n/a	object	16	True	n/a	n/a	n/a	n/a
ds000113	37	listen_preference2_genre		n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference2_genre	Alternative	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference2_genre	Deutsch Pop	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference2_genre	Trance	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference2_genre	Pop	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference2_genre	EBM	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference2_genre	Pop+Rock	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference2_genre	Alternative Pop	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference2_genre	Instrumental	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference2_genre	Hip Hop	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference2_genre	Rock	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference2_genre	Soundtracks	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference2_genre	Metal	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference2_genre	Gothic-Rock	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference2_genre	Organ music	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference2_genre	Minimal	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference2_duration	n/a	float64	9	True	n/a	n/a	n/a	n/a
ds000113	37	listen_preference3_genre	n/a	object	13	True	n/a	n/a	n/a	n/a
ds000113	37	listen_preference3_genre	Indie	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference3_genre	Techno	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference3_genre		n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference3_genre	Gothic/New Wave	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference3_genre	Hip Hop	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference3_genre	Gothic Rock	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference3_genre	Downbeat	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference3_genre	Rock	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference3_genre	Metal	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference3_genre	Chillout/Classical	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference3_genre	House	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference3_genre	Electro	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference3_genre	Jazz	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	listen_preference3_duration	n/a	float64	6	True	n/a	n/a	n/a	n/a
ds000113	37	background_preference1_genre	n/a	object	14	True	n/a	n/a	n/a	n/a
ds000113	37	background_preference1_genre	Hardcore	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	background_preference1_genre		n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	background_preference1_genre	anything	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	background_preference1_genre	Instrumental	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	background_preference1_genre	Rock	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	background_preference1_genre	Downbeat	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	background_preference1_genre	Metal	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	background_preference1_genre	Movie Soundtracks	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	background_preference1_genre	Pop	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	background_preference1_genre	Ambient	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	background_preference1_genre	Pop+Rock	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	background_preference1_genre	Charts	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	background_preference1_genre	Electro	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	background_preference1_genre	Darkwave	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	background_preference1_duration	n/a	float64	11	True	n/a	n/a	n/a	n/a
ds000113	37	background_preference2_genre	n/a	object	14	True	n/a	n/a	n/a	n/a
ds000113	37	background_preference2_genre		n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	background_preference2_genre	Alternative	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	background_preference2_genre	Classical	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	background_preference2_genre	Rock	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	background_preference2_genre	Electro	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	background_preference2_genre	Metal	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	background_preference2_genre	Trance	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	background_preference2_genre	Audiobooks	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	background_preference2_genre	R'n'B	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	background_preference2_genre	Dance	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	background_preference2_genre	Gothic-Rock	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	background_preference2_genre	Latin	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	background_preference2_genre	Triphop	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	background_preference2_genre	EBM	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	background_preference2_duration	n/a	float64	9	True	n/a	n/a	n/a	n/a
ds000113	37	background_preference3_genre	n/a	object	11	True	n/a	n/a	n/a	n/a
ds000113	37	background_preference3_genre	Metall	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	background_preference3_genre	Indie	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	background_preference3_genre	Techno	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	background_preference3_genre		n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	background_preference3_genre	Rock	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	background_preference3_genre	Gothic Rock Darkwave	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	background_preference3_genre	Rock+Pop	n/a	0	False	n/a	n/a	n/a	n/a
ds000113	37	background_preference3_genre	Metal	n/a	0	False	n/a	n/a	n/a	n/a
