index	dataset	column	nb_rows	value	type	nb_levels	is_row	description	controlled_term	units	term_url	isPartOf	Decision	DropReason	Notes	Annotator
63	ds000009	CARE_NEGCONS-DRINKING	24	n/a	int64	13	TRUE	n/a	n/a	n/a	n/a		drop	ambiguous		
64	ds000009	CARE_NEGCONS-SPORTS	24	n/a	int64	10	TRUE	n/a	n/a	n/a	n/a		drop	ambiguous		
65	ds000009	CARE_NEGCONS-TOTAL	24	n/a	int64	19	TRUE	n/a	n/a	n/a	n/a		drop	ambiguous		
66	ds000009	CARE_POSCONS-DRUG	24	n/a	int64	10	TRUE	n/a	n/a	n/a	n/a		drop	ambiguous		
67	ds000009	CARE_POSCONS-AGGR/ILLEG	24	n/a	int64	12	TRUE	n/a	n/a	n/a	n/a		drop	ambiguous		
68	ds000009	CARE_POSCONS-SEX	24	n/a	int64	16	TRUE	n/a	n/a	n/a	n/a		drop	ambiguous		
69	ds000009	CARE_POSCONS-DRINKING	24	n/a	int64	12	TRUE	n/a	n/a	n/a	n/a		drop	ambiguous		
70	ds000009	CARE_POSCONS-SPORTS	24	n/a	int64	13	TRUE	n/a	n/a	n/a	n/a		drop	ambiguous		
71	ds000009	CARE_POSCONS-TOTAL	24	n/a	int64	21	TRUE	n/a	n/a	n/a	n/a		drop	ambiguous		
72	ds000009	NEED	24	n/a	int64	16	TRUE	n/a	n/a	n/a	n/a		drop	ambiguous		
73	ds000009	FOR	24	n/a	int64	4	TRUE	n/a	n/a	n/a	n/a		drop	ambiguous		
74	ds000009	COG_TOTAL	24	n/a	int64	6	TRUE	n/a	n/a	n/a	n/a		drop	model		
75	ds000009	COG	24	n/a	int64	4	TRUE	n/a	n/a	n/a	n/a		drop	model		
76	ds000009	REFLECTION_NUM	24	n/a	int64	17	TRUE	n/a	n/a	n/a	n/a		drop	model		
77	ds000009	CORR	24	n/a	int64	21	TRUE	n/a	n/a	n/a	n/a		drop	ambiguous		
78	ds000009	COG.1	24	n/a	int64	18	TRUE	n/a	n/a	n/a	n/a		drop	model		
79	ds000009	REFLECTION_CONFIDENCE	24	n/a	int64	20	TRUE	n/a	n/a	n/a	n/a		drop	model		
80	ds000009	COG.2	24	n/a	int64	24	TRUE	n/a	n/a	n/a	n/a		drop	model		
81	ds000009	REFLECTION_NUM.1	24	n/a	int64	12	TRUE	n/a	n/a	n/a	n/a		drop	model		
82	ds000009	SEEN	24	n/a	int64	12	TRUE	n/a	n/a	n/a	n/a		drop	ambiguous		
83	ds000009	SENS	24	n/a	int64	11	TRUE	n/a	n/a	n/a	n/a		drop	ambiguous		
84	ds000009	SEEK_BOREDOM	24	n/a	int64	16	TRUE	n/a	n/a	n/a	n/a		drop	ambiguous		
85	ds000009	SENS.1	24	n/a	int64	8	TRUE	n/a	n/a	n/a	n/a		drop	ambiguous		
86	ds000009	SEEK_DISINHIB	24	n/a	int64	11	TRUE	n/a	n/a	n/a	n/a		drop	ambiguous		
87	ds000009	SENS.2	24	n/a	int64	8	TRUE	n/a	n/a	n/a	n/a		drop	ambiguous		
88	ds000009	SEEK_EXP	24	n/a	int64	13	TRUE	n/a	n/a	n/a	n/a		drop	ambiguous		
89	ds000009	SEEK	24	n/a	int64	14	TRUE	n/a	n/a	n/a	n/a		drop	ambiguous		
90	ds000009	SENS.3	24	n/a	int64	13	TRUE	n/a	n/a	n/a	n/a		drop	ambiguous		
91	ds000009	SEEK_THRILL	24	n/a	int64	15	TRUE	n/a	n/a	n/a	n/a		drop	ambiguous		
92	ds000009	SEEK.1	24	n/a	int64	16	TRUE	n/a	n/a	n/a	n/a		drop	ambiguous		
93	ds000009	SENS.4	24	n/a	int64	19	TRUE	n/a	n/a	n/a	n/a		drop	ambiguous		
94	ds000009	SEEK_TOTAL	24	n/a	int64	14	TRUE	n/a	n/a	n/a	n/a		drop	ambiguous		
95	ds000009	BIS_ATTN	24	n/a	int64	21	TRUE	n/a	nb:Assessment	n/a	n/a	cogatlas:trm_55a6a8e81b7f4	keep			
96	ds000009	BIS_MOTOR	24	n/a	int64	14	TRUE	n/a	nb:Assessment	n/a	n/a	cogatlas:trm_55a6a8e81b7f4	keep			
97	ds000009	BIS_NP	24	n/a	int64	14	TRUE	n/a	nb:Assessment	n/a	n/a	cogatlas:trm_55a6a8e81b7f4	keep			
98	ds000009	BIS_TOTAL	24	n/a	int64	14	TRUE	n/a	nb:Assessment	n/a	n/a	cogatlas:trm_55a6a8e81b7f4	keep			
99	ds000009	BIS/BAS_BAS-REWRESP	24	n/a	int64	15	TRUE	n/a	nb:Assessment	n/a	n/a	cogatlas:trm_56a9137d9dce1	keep			
100	ds000009	BIS/BAS_BAS-FUNSEEK	24	n/a	int64	14	TRUE	n/a	nb:Assessment	n/a	n/a	cogatlas:trm_56a9137d9dce1	keep			
101	ds000009	BIS/BAS_BAS-DRIVE	24	n/a	int64	20	TRUE	n/a	nb:Assessment	n/a	n/a	cogatlas:trm_56a9137d9dce1	keep			
102	ds000009	BIS/BAS_BAS	24	n/a	int64	14	TRUE	n/a	nb:Assessment	n/a	n/a	cogatlas:trm_56a9137d9dce1	keep			
103	ds000009	TOTAL	24	n/a	int64	15	TRUE	n/a	n/a	n/a	n/a		drop	ambiguous		
104	ds000009	BIS/BAS_BIS	24	n/a	int64	11	TRUE	n/a	nb:Assessment	n/a	n/a	cogatlas:trm_56a9137d9dce1	keep			
105	ds000009	DOSPERT_RT-ETH	24	n/a	int64	16	TRUE	n/a	nb:Assessment	n/a	n/a	cogatlas:trm_5696abecf2569	keep			AD
106	ds000009	DOSPERT_RT-FIN	24	n/a	int64	15	TRUE	n/a	nb:Assessment	n/a	n/a	cogatlas:trm_5696abecf2569	keep			AD
107	ds000009	DOSPERT_RT-HLTH/SAF	24	n/a	int64	22	TRUE	n/a	nb:Assessment	n/a	n/a	cogatlas:trm_5696abecf2569	keep			AD
108	ds000009	DOSPERT_RT-REC	24	n/a	int64	4	TRUE	n/a	nb:Assessment	n/a	n/a	cogatlas:trm_5696abecf2569	keep			AD
109	ds000009	DOSPERT_RT-SOC	24	n/a	int64	6	TRUE	n/a	nb:Assessment	n/a	n/a	cogatlas:trm_5696abecf2569	keep			AD
110	ds000009	DOSPERT_RT-TOTAL	24	n/a	int64	5	TRUE	n/a	nb:Assessment	n/a	n/a	cogatlas:trm_5696abecf2569	keep			AD
111	ds000009	DOSPERT_RP-ETH	24	n/a	int64	5	TRUE	n/a	nb:Assessment	n/a	n/a	cogatlas:trm_5696abecf2569	keep			AD
112	ds000009	DOSPERT_RP-FIN	24	n/a	int64	5	TRUE	n/a	nb:Assessment	n/a	n/a	cogatlas:trm_5696abecf2569	keep			AD
113	ds000009	DOSPERT_RP-HLTH/SAF	24	n/a	int64	3	TRUE	n/a	nb:Assessment	n/a	n/a	cogatlas:trm_5696abecf2569	keep			AD
114	ds000009	DOSPERT_RP-REC	24	n/a	int64	5	TRUE	n/a	nb:Assessment	n/a	n/a	cogatlas:trm_5696abecf2569	keep			AD
115	ds000009	DOSPERT_RP-SOC	24	n/a	int64	3	TRUE	n/a	nb:Assessment	n/a	n/a	cogatlas:trm_5696abecf2569	keep			AD
116	ds000009	DOSPERT_RP-TOTAL	24	n/a	int64	5	TRUE	n/a	nb:Assessment	n/a	n/a	cogatlas:trm_5696abecf2569	keep			AD
117	ds000009	DOSPERT_EB-ETH	24	n/a	int64	6	TRUE	n/a	nb:Assessment	n/a	n/a	cogatlas:trm_5696abecf2569	keep			AD
118	ds000009	DOSPERT_EB-FIN	24	n/a	int64	4	TRUE	n/a	nb:Assessment	n/a	n/a	cogatlas:trm_5696abecf2569	keep			AD
119	ds000009	DOSPERT_EB-HLTH/SAF	24	n/a	int64	7	TRUE	n/a	nb:Assessment	n/a	n/a	cogatlas:trm_5696abecf2569	keep			AD
120	ds000009	DOSPERT_EB-REC	24	n/a	int64	3	TRUE	n/a	nb:Assessment	n/a	n/a	cogatlas:trm_5696abecf2569	keep			AD
121	ds000009	DOSPERT_EB-SOC	24	n/a	int64	4	TRUE	n/a	nb:Assessment	n/a	n/a	cogatlas:trm_5696abecf2569	keep			AD
122	ds000009	DOSPERT_EB-TOTAL	24	n/a	int64	7	TRUE	n/a	nb:Assessment	n/a	n/a	cogatlas:trm_5696abecf2569	keep			AD
123	ds000009	PANAS_(Post-Pre)-Interested	24	n/a	int64	5	TRUE	n/a	nb:Assessment	n/a	n/a	cogatlas:tsk_4a57abb949d09	keep			
124	ds000009	PANAS_(Post-Pre)-Distressed	24	n/a	int64	5	TRUE	n/a	nb:Assessment	n/a	n/a	cogatlas:tsk_4a57abb949d09	keep			
125	ds000009	PANAS_(Post-Pre)-Excited	24	n/a	int64	6	TRUE	n/a	nb:Assessment	n/a	n/a	cogatlas:tsk_4a57abb949d09	keep			
126	ds000009	PANAS_(Post-Pre)-Upset	24	n/a	int64	5	TRUE	n/a	nb:Assessment	n/a	n/a	cogatlas:tsk_4a57abb949d09	keep			
127	ds000009	PANAS_(Post-Pre)-Strong	24	n/a	int64	6	TRUE	n/a	nb:Assessment	n/a	n/a	cogatlas:tsk_4a57abb949d09	keep			
128	ds000011	participant_id	14	n/a	object	14	TRUE	n/a	nb:ParticipantID	n/a	n/a		keep			
129	ds000011	sex	14	n/a	object	2	TRUE	n/a	nb:Sex	n/a	n/a		keep			
130	ds000011	sex	14	F	n/a	0	FALSE	n/a	snomed:248152002	n/a	n/a		keep			
131	ds000011	sex	14	M	n/a	0	FALSE	n/a	snomed:248153007	n/a	n/a		keep			
132	ds000011	age	14	n/a	int64	9	TRUE	n/a	nb:Age	n/a	n/a		keep			
133	ds000017	participant_id	8	n/a	object	8	TRUE	n/a	nb:ParticipantID	n/a	n/a		keep			
134	ds000017	sex	8	n/a	object	3	TRUE	n/a	nb:Sex	n/a	n/a		keep			
135	ds000017	sex	8	F	n/a	0	FALSE	n/a	snomed:248152002	n/a	n/a		keep			
136	ds000017	sex	8	M	n/a	0	FALSE	n/a	snomed:248153007	n/a	n/a		keep			
137	ds000017	sex	8	nan	n/a	0	FALSE	n/a	nb:MissingValue	n/a	n/a		keep			
138	ds000017	age	8	n/a	float64	5	TRUE	n/a	nb:Age	n/a	n/a		keep			
139	ds000030	participant_id	272	n/a	object	272	TRUE	n/a	nb:ParticipantID	n/a	n/a		keep			
140	ds000030	diagnosis	272	n/a	object	4	TRUE	n/a	nb:Diagnosis	n/a	n/a		keep			
141	ds000030	diagnosis	272	ADHD	n/a	0	FALSE	n/a	snomed:406506008	n/a	n/a		keep			
142	ds000030	diagnosis	272	BIPOLAR	n/a	0	FALSE	n/a	snomed:13746004	n/a	n/a		keep			
143	ds000030	diagnosis	272	CONTROL	n/a	0	FALSE	n/a	purl:NCIT_C94342	n/a	n/a		keep			
144	ds000030	diagnosis	272	SCHZ	n/a	0	FALSE	n/a	snomed:58214004	n/a	n/a		keep			
145	ds000030	age	272	n/a	int64	30	TRUE	n/a	nb:Age	n/a	n/a		keep			
146	ds000030	gender	272	n/a	object	2	TRUE	n/a	nb:Sex	n/a	n/a		keep			
147	ds000030	gender	272	F	n/a	0	FALSE	n/a	snomed:248152002	n/a	n/a		keep			
148	ds000030	gender	272	M	n/a	0	FALSE	n/a	snomed:248153007	n/a	n/a		keep			
149	ds000030	bart	272	n/a	float64	2	TRUE	n/a	nb:Assessment	n/a	n/a	cogatlas:trm_4d559bcd67c18	keep			AD
150	ds000030	bht	272	n/a	float64	2	TRUE	n/a	nb:Assessment	n/a	n/a	cogatlas:trm_4c898a680e424	keep			AD
151	ds000030	dwi	272	n/a	float64	2	TRUE	n/a	n/a	n/a	n/a		drop	model		
152	ds000030	pamenc	272	n/a	float64	2	TRUE	n/a	nb:Assessment	n/a	n/a	cogatlas:trm_4da88a2a63d97	keep			AD
153	ds000030	pamret	272	n/a	float64	2	TRUE	n/a	nb:Assessment	n/a	n/a	cogatlas:trm_4c8991e6e8597	keep			AD
154	ds000030	rest	272	n/a	float64	2	TRUE	n/a	n/a	n/a	n/a		drop	model		
155	ds000030	scap	272	n/a	float64	2	TRUE	n/a	nb:Assessment	n/a	n/a	cogatlas:trm_4f2453b806fe1	keep			AD
156	ds000030	stopsignal	272	n/a	float64	2	TRUE	n/a	n/a	n/a	n/a		drop	model		
157	ds000030	T1w	272	n/a	float64	2	TRUE	n/a	n/a	n/a	n/a		drop	model		
158	ds000030	taskswitch	272	n/a	float64	2	TRUE	n/a	n/a	n/a	n/a		drop	model		
159	ds000030	ScannerSerialNumber	272	n/a	float64	2	TRUE	n/a	n/a	n/a	n/a		drop	model		
160	ds000030	ghost_NoGhost	272	n/a	object	2	TRUE	n/a	n/a	n/a	n/a		drop	model		
161	ds000030	ghost_NoGhost	272	No_ghost	n/a	0	FALSE	n/a	n/a	n/a	n/a		drop	model		
162	ds000030	ghost_NoGhost	272	ghost	n/a	0	FALSE	n/a	n/a	n/a	n/a		drop	model		
163	ds000031	participant_id	1	n/a	object	1	TRUE	Participant identifier	nb:ParticipantID	n/a	n/a		keep			
164	ds000031	age	1	n/a	int64	1	TRUE	Age in years (TODO - verify) as in the initial session, might not be correct for other sessions	nb:Age	n/a	n/a		keep			
165	ds000031	sex	1	n/a	object	1	TRUE	self-rated by participant, M for male/F for female (TODO: verify)	nb:Sex	n/a	n/a		keep			
166	ds000031	sex	1	M	n/a	0	FALSE	n/a	snomed:248153007	n/a	n/a		keep			
167	ds000031	group	1	n/a	object	1	TRUE	(TODO: adjust - by default everyone is in control group)	n/a	n/a	n/a		drop	quality		
168	ds000031	group	1	control	n/a	0	FALSE	n/a	n/a	n/a	n/a		drop	quality		
169	ds000053	participant_id	59	n/a	object	59	TRUE	n/a	nb:ParticipantID	n/a	n/a		keep			
170	ds000053	gender	59	n/a	object	2	TRUE	n/a	nb:Sex	n/a	n/a		keep			
171	ds000053	gender	59	F	n/a	0	FALSE	n/a	snomed:248152002	n/a	n/a		keep			
172	ds000053	gender	59	M	n/a	0	FALSE	n/a	snomed:248153007	n/a	n/a		keep			
173	ds000053	age	59	n/a	int64	13	TRUE	n/a	nb:Age	n/a	n/a		keep			
174	ds000101	participant_id	21	n/a	object	21	TRUE	n/a	nb:ParticipantID	n/a	n/a		keep			
175	ds000101	gender	21	n/a	object	2	TRUE	n/a	nb:Sex	n/a	n/a		keep			
176	ds000101	gender	21	F	n/a	0	FALSE	n/a	snomed:248152002	n/a	n/a		keep			
177	ds000101	gender	21	M	n/a	0	FALSE	n/a	snomed:248153007	n/a	n/a		keep			
178	ds000101	age	21	n/a	float64	21	TRUE	n/a	nb:Age	n/a	n/a		keep			
179	ds000102	participant_id	26	n/a	object	26	TRUE	n/a	nb:ParticipantID	n/a	n/a		keep			
180	ds000102	gender	26	n/a	object	3	TRUE	n/a	nb:Sex	n/a	n/a		keep			
181	ds000102	gender	26	D	n/a	0	FALSE	n/a	nb:MissingValue	n/a	n/a		keep			
182	ds000102	gender	26	F	n/a	0	FALSE	n/a	snomed:248152002	n/a	n/a		keep			
183	ds000102	gender	26	M	n/a	0	FALSE	n/a	snomed:248153007	n/a	n/a		keep			
184	ds000102	age	26	n/a	float64	25	TRUE	n/a	nb:Age	n/a	n/a		keep			
185	ds000108	participant_id	34	n/a	object	34	TRUE	n/a	nb:ParticipantID	n/a	n/a		keep			
186	ds000108	sex	34	n/a	object	2	TRUE	n/a	nb:Sex	n/a	n/a		keep			
187	ds000108	sex	34	F	n/a	0	FALSE	n/a	snomed:248152002	n/a	n/a		keep			
188	ds000108	sex	34	M	n/a	0	FALSE	n/a	snomed:248153007	n/a	n/a		keep			
189	ds000108	age	34	n/a	int64	12	TRUE	n/a	nb:Age	n/a	n/a		keep			
190	ds000110	participant_id	18	n/a	object	18	TRUE	n/a	nb:ParticipantID	n/a	n/a		keep			
191	ds000110	sex	18	n/a	object	2	TRUE	n/a	nb:Sex	n/a	n/a		keep			
192	ds000110	sex	18	F	n/a	0	FALSE	n/a	snomed:248152002	n/a	n/a		keep			
193	ds000110	sex	18	M	n/a	0	FALSE	n/a	snomed:248153007	n/a	n/a		keep			
194	ds000110	age	18	n/a	int64	7	TRUE	n/a	nb:Age	n/a	n/a		keep			
195	ds000113	participant_id	37	n/a	object	37	TRUE	n/a	nb:ParticipantID	n/a	n/a		keep			
196	ds000113	gender	37	n/a	object	3	TRUE	n/a	nb:Sex	n/a	n/a		keep			
197	ds000113	gender	37	f	n/a	0	FALSE	n/a	snomed:248152002	n/a	n/a		keep			
198	ds000113	gender	37	m	n/a	0	FALSE	n/a	snomed:248153007	n/a	n/a		keep			
199	ds000113	gender	37	nan	n/a	0	FALSE	n/a	nb:MissingValue	n/a	n/a		keep			
200	ds000113	age	37	n/a	nb:range	6	TRUE	n/a	nb:Age	n/a	n/a		keep			
201	ds000113	handedness	37	n/a	object	4	TRUE	n/a	n/a	n/a	n/a		drop	model		
202	ds000113	handedness	37	l	n/a	0	FALSE	n/a	n/a	n/a	n/a		drop	model		
203	ds000113	handedness	37	nan	n/a	0	FALSE	n/a	n/a	n/a	n/a		drop	model		
204	ds000113	handedness	37	r	n/a	0	FALSE	n/a	n/a	n/a	n/a		drop	model		
205	ds000113	handedness	37	r;l	n/a	0	FALSE	n/a	n/a	n/a	n/a		drop	model		
206	ds000113	hearing_problems_current	37	n/a	yes_no	2	TRUE	n/a	n/a	n/a	n/a		drop	quality		
207	ds000113	hearing_problems_current	37	n	n/a	0	FALSE	n/a	n/a	n/a	n/a		drop	quality		
208	ds000113	hearing_problems_current	37	nan	n/a	0	FALSE	n/a	n/a	n/a	n/a		drop	quality		
209	ds000113	hearing_problems_past	37	n/a	yes_no	3	TRUE	n/a	n/a	n/a	n/a		drop	model		
210	ds000113	hearing_problems_past	37	n	n/a	0	FALSE	n/a	n/a	n/a	n/a		drop	model		
211	ds000113	hearing_problems_past	37	nan	n/a	0	FALSE	n/a	n/a	n/a	n/a		drop	model		
212	ds000113	hearing_problems_past	37	y	n/a	0	FALSE	n/a	n/a	n/a	n/a		drop	model		
213	ds000113	absolute_pitch	37	n/a	float64	4	TRUE	n/a	n/a	n/a	n/a		drop	model		
214	ds000113	german_speak	37	n/a	float64	2	TRUE	n/a	n/a	n/a	n/a		drop	model		
215	ds000113	german_comprehend	37	n/a	float64	2	TRUE	n/a	n/a	n/a	n/a		drop	model		
216	ds000113	german_read	37	n/a	float64	2	TRUE	n/a	n/a	n/a	n/a		drop	model		
217	ds000113	german_write	37	n/a	float64	2	TRUE	n/a	n/a	n/a	n/a		drop	model		
218	ds000113	english_speak	37	n/a	float64	3	TRUE	n/a	n/a	n/a	n/a		drop	model		
219	ds000113	english_comprehend	37	n/a	float64	3	TRUE	n/a	n/a	n/a	n/a		drop	model		
220	ds000113	english_read	37	n/a	float64	3	TRUE	n/a	n/a	n/a	n/a		drop	model		
221	ds000113	english_write	37	n/a	float64	3	TRUE	n/a	n/a	n/a	n/a		drop	model		
222	ds000113	french_read	37	n/a	float64	4	TRUE	n/a	n/a	n/a	n/a		drop	model		
223	ds000113	french_comprehend	37	n/a	float64	4	TRUE	n/a	n/a	n/a	n/a		drop	model		
224	ds000113	french_read.1	37	n/a	float64	4	TRUE	n/a	n/a	n/a	n/a		drop	model		
225	ds000113	french_write	37	n/a	float64	5	TRUE	n/a	n/a	n/a	n/a		drop	model		
226	ds000113	language4_speak	37	n/a	float64	2	TRUE	n/a	n/a	n/a	n/a		drop	model		
227	ds000113	language4_comprehend	37	n/a	float64	2	TRUE	n/a	n/a	n/a	n/a		drop	model		
228	ds000113	language4_read	37	n/a	float64	2	TRUE	n/a	n/a	n/a	n/a		drop	model		
229	ds000113	language4_write	37	n/a	float64	2	TRUE	n/a	n/a	n/a	n/a		drop	model		
230	ds000113	hörtraining	37	n/a	float64	3	TRUE	n/a	n/a	n/a	n/a		drop	model		
231	ds000113	music_training_harmonics	37	n/a	float64	3	TRUE	n/a	n/a	n/a	n/a		drop	model		
232	ds000113	music_training_composition	37	n/a	float64	3	TRUE	n/a	n/a	n/a	n/a		drop	model		
233	ds000113	music_training_analytics	37	n/a	float64	3	TRUE	n/a	n/a	n/a	n/a		drop	model		
234	ds000113	music_training_history	37	n/a	float64	3	TRUE	n/a	n/a	n/a	n/a		drop	model		
235	ds000113	music_training_other	37	n/a	float64	3	TRUE	n/a	n/a	n/a	n/a		drop	model		
236	ds000113	music_training_improv	37	n/a	float64	3	TRUE	n/a	n/a	n/a	n/a		drop	model		
237	ds000113	melodic_stability	37	n/a	float64	4	TRUE	n/a	n/a	n/a	n/a		drop	model		
238	ds000113	listen_preference1_genre	37	n/a	object	15	TRUE	n/a	n/a	n/a	n/a		drop	model		
239	ds000113	listen_preference1_duration	37	n/a	float64	11	TRUE	n/a	n/a	n/a	n/a		drop	model		
240	ds000113	listen_preference2_genre	37	n/a	object	16	TRUE	n/a	n/a	n/a	n/a		drop	model		
