dataset	nb_rows	column	type	nb_levels	description	controlled_term
ds000009	24	BIS/BAS_BAS-FUNSEEK	int64	14	n/a	n/a
ds000009	24	BIS/BAS_BAS-DRIVE	int64	20	n/a	n/a
ds000009	24	BIS/BAS_BAS	int64	14	n/a	n/a
ds000009	24	TOTAL	int64	15	n/a	n/a
ds000009	24	BIS/BAS_BIS	int64	11	n/a	n/a
ds000009	24	DOSPERT_RT-ETH	int64	16	n/a	n/a
ds000009	24	DOSPERT_RT-FIN	int64	15	n/a	n/a
ds000009	24	DOSPERT_RT-HLTH/SAF	int64	22	n/a	n/a
ds000009	24	DOSPERT_RT-REC	int64	4	n/a	n/a
ds000009	24	DOSPERT_RT-SOC	int64	6	n/a	n/a
ds000009	24	DOSPERT_RT-TOTAL	int64	5	n/a	n/a
ds000009	24	DOSPERT_RP-ETH	int64	5	n/a	n/a
ds000009	24	DOSPERT_RP-FIN	int64	5	n/a	n/a
ds000009	24	DOSPERT_RP-HLTH/SAF	int64	3	n/a	n/a
ds000009	24	DOSPERT_RP-REC	int64	5	n/a	n/a
ds000009	24	DOSPERT_RP-SOC	int64	3	n/a	n/a
ds000009	24	DOSPERT_RP-TOTAL	int64	5	n/a	n/a
ds000009	24	DOSPERT_EB-ETH	int64	6	n/a	n/a
ds000009	24	DOSPERT_EB-FIN	int64	4	n/a	n/a
ds000009	24	DOSPERT_EB-HLTH/SAF	int64	7	n/a	n/a
ds000009	24	DOSPERT_EB-REC	int64	3	n/a	n/a
ds000009	24	DOSPERT_EB-SOC	int64	4	n/a	n/a
ds000009	24	DOSPERT_EB-TOTAL	int64	7	n/a	n/a
ds000009	24	PANAS_(Post-Pre)-Interested	int64	5	n/a	n/a
ds000009	24	PANAS_(Post-Pre)-Distressed	int64	5	n/a	n/a
ds000009	24	PANAS_(Post-Pre)-Excited	int64	6	n/a	n/a
ds000009	24	PANAS_(Post-Pre)-Upset	int64	5	n/a	n/a
ds000009	24	PANAS_(Post-Pre)-Strong	int64	6	n/a	n/a
ds000011	14	participant_id	object	14	n/a	nb:ParticipantID
ds000011	14	sex	object	2	n/a	n/a
ds000011	14	age	int64	9	n/a	n/a
ds000017	8	participant_id	object	8	n/a	nb:ParticipantID
ds000017	8	sex	object	3	n/a	n/a
ds000017	8	age	float64	5	n/a	n/a
ds000030	272	participant_id	object	272	n/a	nb:ParticipantID
ds000030	272	diagnosis	object	4	n/a	n/a
ds000030	272	age	int64	30	n/a	n/a
ds000030	272	gender	object	2	n/a	n/a
ds000030	272	bart	float64	2	n/a	n/a
ds000030	272	bht	float64	2	n/a	n/a
ds000030	272	dwi	float64	2	n/a	n/a
ds000030	272	pamenc	float64	2	n/a	n/a
ds000030	272	pamret	float64	2	n/a	n/a
ds000030	272	rest	float64	2	n/a	n/a
ds000030	272	scap	float64	2	n/a	n/a
ds000030	272	stopsignal	float64	2	n/a	n/a
ds000030	272	T1w	float64	2	n/a	n/a
ds000030	272	taskswitch	float64	2	n/a	n/a
ds000030	272	ScannerSerialNumber	float64	2	n/a	n/a
ds000030	272	ghost_NoGhost	object	2	n/a	n/a
ds000031	1	participant_id	object	1	Participant identifier	nb:ParticipantID
ds000031	1	age	int64	1	Age in years (TODO - verify) as in the initial session, might not be correct for other sessions	n/a
ds000031	1	sex	object	1	self-rated by participant, M for male/F for female (TODO: verify)	n/a
ds000031	1	group	object	1	(TODO: adjust - by default everyone is in control group)	n/a
ds000053	59	participant_id	object	59	n/a	nb:ParticipantID
ds000053	59	gender	object	2	n/a	n/a
ds000053	59	age	int64	13	n/a	n/a
ds000101	21	participant_id	object	21	n/a	nb:ParticipantID
ds000101	21	gender	object	2	n/a	n/a
ds000101	21	age	float64	21	n/a	n/a
ds000102	26	participant_id	object	26	n/a	nb:ParticipantID
ds000102	26	gender	object	3	n/a	n/a
ds000102	26	age	float64	25	n/a	n/a
ds000108	34	participant_id	object	34	n/a	nb:ParticipantID
ds000108	34	sex	object	2	n/a	n/a
ds000108	34	age	int64	12	n/a	n/a
ds000110	18	participant_id	object	18	n/a	nb:ParticipantID
ds000110	18	sex	object	2	n/a	n/a
ds000110	18	age	int64	7	n/a	n/a
ds000113	37	participant_id	object	37	n/a	nb:ParticipantID
ds000113	37	gender	object	3	n/a	n/a
ds000113	37	age	object	6	n/a	n/a
ds000113	37	handedness	object	4	n/a	n/a
ds000113	37	hearing_problems_current	object	2	n/a	n/a
ds000113	37	hearing_problems_past	object	3	n/a	n/a
ds000113	37	absolute_pitch	float64	4	n/a	n/a
ds000113	37	german_speak	float64	2	n/a	n/a
ds000113	37	german_comprehend	float64	2	n/a	n/a
ds000113	37	german_read	float64	2	n/a	n/a
ds000113	37	german_write	float64	2	n/a	n/a
ds000113	37	english_speak	float64	3	n/a	n/a
ds000113	37	english_comprehend	float64	3	n/a	n/a
ds000113	37	english_read	float64	3	n/a	n/a
ds000113	37	english_write	float64	3	n/a	n/a
ds000113	37	french_read	float64	4	n/a	n/a
ds000113	37	french_comprehend	float64	4	n/a	n/a
ds000113	37	french_read.1	float64	4	n/a	n/a
ds000113	37	french_write	float64	5	n/a	n/a
ds000113	37	language4_speak	float64	2	n/a	n/a
ds000113	37	language4_comprehend	float64	2	n/a	n/a
ds000113	37	language4_read	float64	2	n/a	n/a
ds000113	37	language4_write	float64	2	n/a	n/a
ds000113	37	hörtraining	float64	3	n/a	n/a
ds000113	37	music_training_harmonics	float64	3	n/a	n/a
ds000113	37	music_training_composition	float64	3	n/a	n/a
ds000113	37	music_training_analytics	float64	3	n/a	n/a
ds000113	37	music_training_history	float64	3	n/a	n/a
ds000113	37	music_training_other	float64	3	n/a	n/a
ds000113	37	music_training_improv	float64	3	n/a	n/a
ds000113	37	melodic_stability	float64	4	n/a	n/a
ds000113	37	listen_preference1_genre	object	15	n/a	n/a
ds000113	37	listen_preference1_duration	float64	11	n/a	n/a
ds000113	37	listen_preference2_genre	object	16	n/a	n/a
ds000113	37	listen_preference2_duration	float64	9	n/a	n/a
ds000113	37	listen_preference3_genre	object	13	n/a	n/a
ds000113	37	listen_preference3_duration	float64	6	n/a	n/a
ds000113	37	background_preference1_genre	object	14	n/a	n/a
ds000113	37	background_preference1_duration	float64	11	n/a	n/a
ds000113	37	background_preference2_genre	object	14	n/a	n/a
ds000113	37	background_preference2_duration	float64	9	n/a	n/a
ds000113	37	background_preference3_genre	object	11	n/a	n/a
ds000113	37	background_preference3_duration	float64	8	n/a	n/a
ds000113	37	concert_preference1_genre	object	12	n/a	n/a
ds000113	37	concert_preference1_duration	object	10	n/a	n/a
ds000113	37	concert_preference2_genre	object	10	n/a	n/a
ds000113	37	concert_preference2_duration	object	6	n/a	n/a
ds000113	37	concert_preference3_genre	object	7	n/a	n/a
ds000113	37	concert_preference3_duration	object	3	n/a	n/a
ds000113	37	favorite_music_examples	object	16	n/a	n/a
ds000113	37	musician	object	3	n/a	n/a
ds000113	37	music_lover	object	3	n/a	n/a
ds000113	37	musician_style1	object	7	n/a	n/a
ds000113	37	musician_style2	object	6	n/a	n/a
ds000113	37	musician_style3	object	5	n/a	n/a
ds000113	37	musician_instruments	object	8	n/a	n/a
ds000113	37	musician_improv	object	3	n/a	n/a
ds000113	37	musician_improv_style	object	4	n/a	n/a
ds000113	37	musician_conductor	object	3	n/a	n/a
ds000113	37	musician_other_activities	object	4	n/a	n/a
ds000113	37	musician_act1	object	7	n/a	n/a
ds000113	37	musician_act1_duration	float64	9	n/a	n/a
ds000113	37	musician_act1_startage	float64	8	n/a	n/a
ds000113	37	musician_act1_endage	object	8	n/a	n/a
ds000113	37	musician_act2	object	8	n/a	n/a
ds000113	37	musician_act2_duration	float64	7	n/a	n/a
ds000113	37	musician_act2_startage	float64	8	n/a	n/a
ds000113	37	musician_act2_endage	object	8	n/a	n/a
ds000113	37	musician_act3	object	4	n/a	n/a
ds000113	37	musician_act3_duration	float64	4	n/a	n/a
ds000113	37	musician_act3_startage	float64	4	n/a	n/a
ds000113	37	musician_act3_endage	float64	4	n/a	n/a
ds000113	37	forrest_seen	object	3	n/a	n/a
ds000113	37	forrest_seen_dist	float64	16	n/a	n/a
ds000113	37	forrest_seen_count	float64	10	n/a	n/a
ds000113	37	forrest_seen_languages	object	5	n/a	n/a
ds000113	37	forrest_ad_known	object	3	n/a	n/a
ds000113	37	forrest_ad_rating	float64	4	n/a	n/a
ds000113	37	forrest_ad_storydepth	float64	3	n/a	n/a
ds000113	37	forrest_ad_fatigue	float64	5	n/a	n/a
ds000113	37	forrest_ad_feeling	float64	4	n/a	n/a
ds000113	37	forrest_ad_artist_count	float64	14	n/a	n/a
ds000113	37	audioq1	float64	4	n/a	n/a
ds000113	37	audioq2	float64	4	n/a	n/a
ds000113	37	audioq3	float64	5	n/a	n/a
ds000113	37	audioq4	float64	5	n/a	n/a
ds000113	37	audioq5	float64	3	n/a	n/a
ds000113	37	audioq6	float64	3	n/a	n/a
ds000113	37	audioq7	float64	4	n/a	n/a
ds000113	37	audioq8	float64	4	n/a	n/a
ds000113	37	vision_problems_current	object	2	n/a	n/a
ds000113	37	vision_problems_past	object	3	n/a	n/a
ds000114	10	participant_id	object	10	n/a	nb:ParticipantID
ds000114	10	dominant_hand	object	2	n/a	n/a
ds000115	99	participant_id	object	99	n/a	nb:ParticipantID
ds000115	99	condit	object	4	n/a	n/a
ds000115	99	gender	object	2	n/a	n/a
ds000115	99	race	object	2	n/a	n/a
ds000115	99	age	float64	99	n/a	n/a
ds000115	99	yrschool	int64	15	n/a	n/a
ds000115	99	saps7	int64	6	n/a	n/a
ds000115	99	saps20	int64	5	n/a	n/a
ds000115	99	saps25	float64	5	n/a	n/a
ds000115	99	saps34	int64	4	n/a	n/a
ds000115	99	sans8	float64	5	n/a	n/a
ds000115	99	sans13	int64	4	n/a	n/a
ds000115	99	sans17	float64	7	n/a	n/a
ds000115	99	sans22	float64	6	n/a	n/a
ds000115	99	sans25	object	7	n/a	n/a
ds000115	99	d4prime	object	70	n/a	n/a
ds000115	99	LFLUNOVS	int64	23	n/a	n/a
ds000115	99	CFLUNOVA	int64	22	n/a	n/a
ds000115	99	TRAILB	object	97	n/a	n/a
ds000115	99	WCSTPSVE	object	32	n/a	n/a
ds000115	99	WAIS_VOCAB_SCALED	object	16	n/a	n/a
ds000115	99	WAIS_MATRICS_SCALE	object	14	n/a	n/a
ds000115	99	LOGIALMEMORY_SCALE	object	18	n/a	n/a
ds000115	99	FAMILYPICT_SCALE	object	15	n/a	n/a
ds000115	99	LNS_SCALE	object	17	n/a	n/a
ds000115	99	SST_SCALE	object	17	n/a	n/a
ds000115	99	DST_SCALE	float64	14	n/a	n/a
ds000115	99	z_iq_4grp	object	16	n/a	n/a
ds000115	99	z_wm_4grp	float64	99	n/a	n/a
ds000115	99	z_em_4grp	object	97	n/a	n/a
ds000115	99	z_ra_4grp	float64	99	n/a	n/a
ds000115	99	z_pos_4grp	float64	75	n/a	n/a
ds000115	99	z_neg_4grp	float64	90	n/a	n/a
ds000115	99	z_dis_4grp	float64	44	n/a	n/a
ds000115	99	fyrschool	object	12	n/a	n/a
ds000115	99	myrschool	float64	11	n/a	n/a
ds000115	99	parent_yrsschool	float64	12	n/a	n/a
ds000115	99	nback0_nont	float64	8	n/a	n/a
ds000115	99	nback0_targ	float64	8	n/a	n/a
ds000115	99	nback1_nont	float64	16	n/a	n/a
ds000115	99	nback1_targ	float64	14	n/a	n/a
ds000115	99	nback2_nont	float64	21	n/a	n/a
ds000115	99	nback2_targ	float64	13	n/a	n/a
ds000115	99	nback0_nont_medrt	float64	95	n/a	n/a
ds000115	99	nback0_targ_medrt	float64	91	n/a	n/a
ds000115	99	nback1_nont_medrt	float64	92	n/a	n/a
ds000115	99	nback1_targ_medrt	float64	92	n/a	n/a
ds000115	99	nback2_nont_medrt	float64	92	n/a	n/a
ds000115	99	nback2_targ_medrt	float64	90	n/a	n/a
ds000116	17	participant_id	object	17	n/a	nb:ParticipantID
ds000116	17	sex	object	2	n/a	n/a
ds000116	17	age	int64	12	n/a	n/a
ds000116	17	handedness	object	2	n/a	n/a
ds000116	17	ethnicity	object	6	n/a	n/a
ds000117	17	participant_id	object	17	n/a	nb:ParticipantID
ds000117	17	age	float64	8	n/a	n/a
ds000117	17	sex	object	3	n/a	n/a
ds000117	17	first_ses	object	3	n/a	n/a
ds000119	73	participant_id	object	73	n/a	nb:ParticipantID
ds000119	73	sex	float64	72	n/a	n/a
ds000119	73	age	object	2	n/a	n/a
ds000120	26	participant_id	object	26	n/a	nb:ParticipantID
ds000120	26	sex	object	2	n/a	n/a
ds000120	26	age	float64	25	n/a	n/a
ds000121	28	participant_id	object	28	n/a	nb:ParticipantID
ds000121	28	sex	float64	28	n/a	n/a
ds000121	28	age	object	2	n/a	n/a
ds000122	17	participant_id	object	17	n/a	nb:ParticipantID
ds000122	17	sex	object	2	n/a	n/a
ds000122	17	age	int64	10	n/a	n/a
ds000133	26	participant_id	object	26	n/a	nb:ParticipantID
ds000133	26	study_group	object	2	n/a	n/a
ds000133	26	handedness	object	1	n/a	n/a
ds000133	26	gender	object	1	n/a	n/a
ds000138	16	participant_id	object	16	n/a	nb:ParticipantID
ds000138	16	sex	object	2	n/a	n/a
ds000138	16	age	int64	9	n/a	n/a
ds000140	33	participant_id	object	33	n/a	nb:ParticipantID
ds000140	33	sex	object	2	n/a	n/a
ds000140	33	age	int64	16	n/a	n/a
ds000144	45	participant_id	object	45	n/a	nb:ParticipantID
ds000144	45	poverty	float64	3	Federal income below federal poverty line	n/a
ds000144	45	race	int64	2	n/a	n/a
ds000144	45	ScanAge	int64	5	Age at Scan	n/a
ds000144	45	jsex	object	2	Gender	n/a
ds000144	45	hand	int64	2	n/a	n/a
ds000144	45	IQ	int64	29	IQ	n/a
ds000144	45	Imp_P	int64	10	n/a	n/a
ds000144	45	SADSx_p	int64	7	Separation Anxiety Symptom Count at Preschool	n/a
ds000144	45	SADDx_p	int64	2	Separation Anxiety Disorder at Preschool	n/a
ds000144	45	GADSx_p	int64	6	Separation Anxiety Symptom Count at Preschool	n/a
ds000144	45	GADDx_p	int64	2	Separation Anxiety Disorder at Preschool	n/a
ds000144	45	SOCSx_p	int64	3	Social Anxiety Symptom Count at Preschool	n/a
ds000144	45	SOCDx_p	int64	2	Social Anxiety Disorder at Preschool	n/a
ds000144	45	Imp_f	int64	8	Impairment at Follow-up - continuous variable	n/a
ds000144	45	SADSx_f	int64	7	Separation Anxiety Symptom Count at Follow-up	n/a
ds000144	45	SADDx_f	int64	2	Separation Anxiety Disorder at Follow-up	n/a
ds000144	45	GADSx_f	int64	5	Generalized Anxiety Symptom Count at Follow-up	n/a
ds000144	45	GADDx_f	int64	2	Generalized Anxiety Disorder at Follow-up	n/a
ds000144	45	SOCSx_f	int64	2	Social Anxiety Symptom Count at Follow-up	n/a
ds000144	45	SOCDx_f	int64	2	Social Anxiety Disorder at Follow-up	n/a
ds000144	45	AnyAnx_p	int64	2	n/a	n/a
ds000144	45	AnyAnx_f	int64	2	n/a	n/a
ds000144	45	InternSx_p	int64	12	Anxiety and Depression Symptom Count at Preschool	n/a
ds000144	45	InternSx_f	int64	11	Anxiety and Depression Symptom Count at Follow-up	n/a
ds000144	45	scanner	int64	2	Scanner used	n/a
ds000148	49	participant_id	object	49	n/a	nb:ParticipantID
ds000148	49	dataset	object	1	n/a	n/a
ds000148	49	sex	object	2	n/a	n/a
ds000148	49	age	int64	7	n/a	n/a
ds000148	49	AS36_switching_self-rated	int64	26	n/a	n/a
ds000148	49	AS36_switching_1st-friend-rating	int64	26	n/a	n/a
ds000148	49	AS36_switching_2nd-friend-rating	int64	26	n/a	n/a
ds000148	49	AS36_monitoring_self-rated	int64	29	n/a	n/a
ds000148	49	AS36_monitoring_1st-friend-rating	int64	30	n/a	n/a
ds000148	49	AS36_monitoring_2nd-friend-rating	int64	30	n/a	n/a
ds000148	49	AS36_inhibition_self-rated	int64	25	n/a	n/a
ds000148	49	AS36_inhibition_1st-friend-rating	int64	27	n/a	n/a
ds000148	49	AS36_inhibition_2nd-friend-rating	int64	27	n/a	n/a
ds000148	49	RPM	int64	16	n/a	n/a
ds000148	49	TAO	int64	15	n/a	n/a
ds000149	15	participant_id	object	15	n/a	nb:ParticipantID
ds000149	15	sex	object	2	n/a	n/a
ds000149	15	age	int64	10	n/a	n/a
ds000157	30	participant_id	object	30	n/a	nb:ParticipantID
ds000157	30	sex	object	1	n/a	n/a
ds000157	30	age	float64	8	n/a	n/a
ds000157	30	BMI	float64	28	n/a	n/a
ds000157	30	diet_success	float64	10	n/a	n/a
ds000157	30	diet_importance	float64	7	subject's self-rating of how important dieting is to them	n/a
ds000157	30	appetite_pre	float64	14	subject's self-rating of appetite strength when asked before the scan	n/a
ds000157	30	appetite_post	float64	8	subject's self-rating of appetite strength when asked after the scan	n/a
ds000157	30	oral_contraceptive	yes/no	2	whether or not the subject was using an oral contraceptive	n/a
ds000157	30	days_since_menstruationi	int64	18	n/a	n/a
ds000157	30	cycle_phase_covariate	int64	3	Menstrual Cycle phase (based on days_since_menstruation and oral_contraceptive	n/a
ds000168	35	participant_id	object	35	n/a	nb:ParticipantID
ds000168	35	sex	object	2	n/a	n/a
ds000168	35	age	float64	5	n/a	n/a
ds000170	15	participant_id	object	15	n/a	nb:ParticipantID
ds000170	15	handedness	object	1	n/a	n/a
ds000170	15	sex	object	2	n/a	n/a
ds000170	15	age	int64	11	n/a	n/a
ds000171	39	participant_id	object	39	n/a	nb:ParticipantID
ds000171	39	sex	object	2	n/a	n/a
ds000171	39	age	int64	22	n/a	n/a
ds000171	39	group	object	2	n/a	n/a
ds000172	13	participant_id	object	13	n/a	nb:ParticipantID
ds000172	13	Gender	object	2	n/a	n/a
ds000172	13	Age	float64	12	n/a	n/a
ds000174	42	participant_id	int64	42	n/a	nb:ParticipantID
ds000174	42	group	object	2	n/a	n/a
ds000174	42	gender	object	2	n/a	n/a
ds000174	42	age at baseline 	float64	40	n/a	n/a
ds000174	42	age at onset first CB use	float64	15	n/a	n/a
ds000174	42	age at onset frequent CB use	float64	10	n/a	n/a
ds000174	42	cudit total baseline	int64	16	n/a	n/a
ds000174	42	cudit total follow-up	int64	20	n/a	n/a
ds000174	42	audit total baseline	int64	13	n/a	n/a
ds000174	42	audit total follow-up	int64	16	n/a	n/a
ds000200	14	participant_id	object	14	n/a	nb:ParticipantID
ds000200	14	MnExposition	object	2	n/a	n/a
ds000200	14	age	int64	7	n/a	n/a
ds000200	14	gender	object	2	n/a	n/a
ds000200	14	Obvolume_mm3	float64	13	n/a	n/a
ds000200	14	Id12items	float64	7	n/a	n/a
ds000200	14	avg_rating	float64	10	n/a	n/a
ds000200	14	BOLD in VOI Olf	float64	10	n/a	n/a
ds000200	14	notes	object	3	n/a	n/a
ds000201	86	participant_id	object	86	n/a	nb:ParticipantID
ds000201	86	Sex	object	2	self-rated by participant, male/female	n/a
ds000201	86	AgeGroup	object	2	Young: 20-30 years old at time of experiment, inclusive. Old: 65-75 years old at time of experiment, inclusive.	n/a
ds000201	86	BMI1	object	82	Body Mass Index, session 1	n/a
ds000201	86	BMI2	object	81	Body Mass Index, session 2	n/a
ds000201	86	EducationLevel	object	4	self-rated by participant, Har avslutat grundskolan = finished primary school, Har avslutat gymnasieskolan = finished secondary school, Studerar för nävarande på universitet/högskola = Student at university, Har examen från universitet/högskola = Has degree from university	n/a
ds000201	86	HADS_Anxiety	int64	9	Hospital Anxiety and Depression scale, Anxiety subscale	n/a
ds000201	86	HADS_Depression	int64	6	Hospital Anxiety and Depression scale, Depression subscale	n/a
ds000201	86	ISI	int64	8	Insomnia Severity Index	n/a
ds000201	86	KSQ_SleepQualityIndex	object	8	Karolinska Sleep Questionnaire, SleepQualityIndex	n/a
ds000201	86	KSQ_WakeupSymptomIndex	object	9	Karolinska Sleep Questionnaire, WakeupSymptomIndex	n/a
ds000201	86	KSQ_SnoringSymptomIndex	object	6	Karolinska Sleep Questionnaire, SnoringSymptomIndex	n/a
ds000201	86	KSQ_SleepSymptomIndex	object	12	Karolinska Sleep Questionnaire, SleepSymptomIndex	n/a
ds000201	86	KSQ_WeekdayBedTime	object	23	Karolinska Sleep Questionnaire, WeekdayBedTime	n/a
ds000201	86	KSQ_WeekendBedTime	object	25	Karolinska Sleep Questionnaire, WeekendBedTime	n/a
ds000201	86	KSQ_WeekdayRiseTime	object	29	Karolinska Sleep Questionnaire, WeekdayRiseTime	n/a
ds000201	86	KSQ_WeekendRiseTime	object	26	Karolinska Sleep Questionnaire, WeekendRiseTime	n/a
ds000201	86	KSQ_NapFrequency	object	5	Karolinska Sleep Questionnaire, NapFrequency	n/a
ds000201	86	KSQ_NapDuration	object	21	Karolinska Sleep Questionnaire, NapDuration	n/a
ds000201	86	KSQ_ConcernDisturbedSleep	object	4	Karolinska Sleep Questionnaire, ConcernDisturbedSleep	n/a
ds000201	86	KSQ_Panic	object	4	Karolinska Sleep Questionnaire, Panic	n/a
ds000201	86	KSQ_Worry	object	4	Karolinska Sleep Questionnaire, Worry	n/a
ds000201	86	KSQ_CompensatoryMorningSleep	object	4	Karolinska Sleep Questionnaire, CompensatoryMorningSleep	n/a
ds000201	86	KSQ_ConcernFatigue	object	4	Karolinska Sleep Questionnaire, ConcernFatigue	n/a
ds000201	86	KSQ_EnoughSleep	object	3	Karolinska Sleep Questionnaire, EnoughSleep	n/a
ds000201	86	KSQ_HealthProblem	object	5	Karolinska Sleep Questionnaire, HealthProblem	n/a
ds000201	86	KSQ_TotalSleepRequirement	object	15	Karolinska Sleep Questionnaire, TotalSleepRequirement	n/a
ds000201	86	KSQ_OverallSleepQuality	object	3	Karolinska Sleep Questionnaire, OverallSleepQuality	n/a
ds000201	86	KSQ_MorningOrEveningPerson	int64	5	Karolinska Sleep Questionnaire, MorningOrEveningPerson	n/a
ds000201	86	IRI_EC	object	16	Interpersonal Reactivity Index, Empathic Concern subscale	n/a
ds000201	86	IRI_PT	object	18	Interpersonal Reactivity Index, Perspective Taking subscale	n/a
ds000201	86	IRI_PD	object	22	Interpersonal Reactivity Index, Personal Distress subscale	n/a
ds000201	86	IRI_F	object	22	Interpersonal Reactivity Index, Fantasy subscale	n/a
ds000201	86	TAS20_Total	int64	26	Toronto Alexithymia Scale-20, total score	n/a
ds000201	86	TAS20_DIF	int64	15	Toronto Alexithymia Scale-20, Difficulty Identifying Feelings subscale	n/a
ds000201	86	TAS20_DDF	int64	14	Toronto Alexithymia Scale-20, Difficulty Describing Feelings subscale	n/a
ds000201	86	TAS20_EOT	int64	12	Toronto Alexithymia Scale-20, Externally Oriented Thinking subscale	n/a
ds000201	86	STAI_T	int64	27	State-Trait Anxiety Inventory, Trait subscale	n/a
ds000201	86	BFI_Extraversion	int64	21	Big Five Inventory, Extraversion subscale	n/a
ds000201	86	BFI_Agreeableness	int64	19	Big Five Inventory, Agreeableness subscale	n/a
