dataset	column	value	is_row	description	controlled_term	units
ds000009	CARE_ENGAGING-AGGR/ILLEG	16	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-AGGR/ILLEG	17	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-AGGR/ILLEG	18	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-AGGR/ILLEG	19	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-AGGR/ILLEG	20	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-AGGR/ILLEG	21	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-AGGR/ILLEG	23	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-AGGR/ILLEG	24	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-AGGR/ILLEG	26	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-AGGR/ILLEG	28	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-SEX	n/a	True	n/a	n/a	n/a
ds000009	CARE_ENGAGING-SEX	6	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-SEX	8	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-SEX	9	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-SEX	10	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-SEX	12	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-SEX	15	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-SEX	18	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-SEX	26	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-DRINKING	n/a	True	n/a	n/a	n/a
ds000009	CARE_ENGAGING-DRINKING	3	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-DRINKING	4	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-DRINKING	5	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-DRINKING	8	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-DRINKING	10	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-DRINKING	13	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-DRINKING	15	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-DRINKING	16	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-DRINKING	17	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-DRINKING	18	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-DRINKING	20	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-DRINKING	21	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-SPORTS	n/a	True	n/a	n/a	n/a
ds000009	CARE_ENGAGING-SPORTS	6	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-SPORTS	7	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-SPORTS	9	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-SPORTS	10	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-SPORTS	15	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-SPORTS	16	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-SPORTS	17	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-SPORTS	18	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-SPORTS	19	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-SPORTS	22	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-SPORTS	23	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-SPORTS	28	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-TOTAL	n/a	True	n/a	n/a	n/a
ds000009	CARE_ENGAGING-TOTAL	66	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-TOTAL	68	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-TOTAL	134	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-TOTAL	72	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-TOTAL	73	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-TOTAL	76	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-TOTAL	79	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-TOTAL	83	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-TOTAL	86	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-TOTAL	39	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-TOTAL	106	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-TOTAL	45	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-TOTAL	127	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-TOTAL	49	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-TOTAL	113	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-TOTAL	54	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-TOTAL	56	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-TOTAL	58	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-TOTAL	59	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-TOTAL	60	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-TOTAL	63	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-DRUG	n/a	True	n/a	n/a	n/a
ds000009	CARE_NEGCONS-DRUG	4	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-DRUG	5	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-DRUG	8	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-DRUG	10	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-DRUG	11	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-DRUG	13	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-DRUG	14	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-DRUG	16	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-DRUG	17	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-DRUG	18	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-DRUG	20	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-DRUG	21	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-AGGR/ILLEG	n/a	True	n/a	n/a	n/a
ds000009	CARE_NEGCONS-AGGR/ILLEG	35	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-AGGR/ILLEG	36	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-AGGR/ILLEG	39	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-AGGR/ILLEG	41	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-AGGR/ILLEG	42	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-AGGR/ILLEG	43	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-AGGR/ILLEG	44	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-AGGR/ILLEG	46	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-AGGR/ILLEG	47	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-AGGR/ILLEG	48	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-AGGR/ILLEG	49	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-AGGR/ILLEG	51	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-AGGR/ILLEG	52	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-AGGR/ILLEG	53	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-AGGR/ILLEG	55	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-AGGR/ILLEG	56	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-AGGR/ILLEG	57	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-AGGR/ILLEG	59	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-AGGR/ILLEG	62	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-AGGR/ILLEG	63	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-SEX	n/a	True	n/a	n/a	n/a
ds000009	CARE_NEGCONS-SEX	15	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-SEX	23	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-SEX	24	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-SEX	25	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-SEX	26	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-SEX	27	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-SEX	28	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-SEX	29	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-SEX	30	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-SEX	31	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-SEX	32	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-SEX	33	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-SEX	35	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-SEX	36	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-SEX	38	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-SEX	39	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-SEX	40	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-SEX	42	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-DRINKING	n/a	True	n/a	n/a	n/a
ds000009	CARE_NEGCONS-DRINKING	3	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-DRINKING	7	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-DRINKING	8	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-DRINKING	11	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-DRINKING	12	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-DRINKING	13	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-DRINKING	14	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-DRINKING	15	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-DRINKING	16	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-DRINKING	18	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-DRINKING	19	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-DRINKING	20	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-DRINKING	21	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-SPORTS	n/a	True	n/a	n/a	n/a
ds000009	CARE_NEGCONS-SPORTS	4	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-SPORTS	5	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-SPORTS	6	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-SPORTS	7	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-SPORTS	8	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-SPORTS	9	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-SPORTS	10	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-SPORTS	11	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-SPORTS	12	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-SPORTS	21	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-TOTAL	n/a	True	n/a	n/a	n/a
ds000009	CARE_NEGCONS-TOTAL	130	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-TOTAL	132	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-TOTAL	142	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-TOTAL	143	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-TOTAL	153	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-TOTAL	92	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-TOTAL	158	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-TOTAL	159	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-TOTAL	162	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-TOTAL	164	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-TOTAL	102	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-TOTAL	111	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-TOTAL	176	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-TOTAL	180	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-TOTAL	182	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-TOTAL	183	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-TOTAL	118	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-TOTAL	122	False	n/a	n/a	n/a
ds000009	CARE_NEGCONS-TOTAL	123	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-DRUG	n/a	True	n/a	n/a	n/a
ds000009	CARE_POSCONS-DRUG	3	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-DRUG	4	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-DRUG	5	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-DRUG	6	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-DRUG	7	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-DRUG	9	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-DRUG	13	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-DRUG	14	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-DRUG	18	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-DRUG	21	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-AGGR/ILLEG	n/a	True	n/a	n/a	n/a
ds000009	CARE_POSCONS-AGGR/ILLEG	9	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-AGGR/ILLEG	10	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-AGGR/ILLEG	12	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-AGGR/ILLEG	13	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-AGGR/ILLEG	14	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-AGGR/ILLEG	15	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-AGGR/ILLEG	16	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-AGGR/ILLEG	23	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-AGGR/ILLEG	24	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-AGGR/ILLEG	26	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-AGGR/ILLEG	27	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-AGGR/ILLEG	28	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-SEX	n/a	True	n/a	n/a	n/a
ds000009	CARE_POSCONS-SEX	6	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-SEX	7	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-SEX	9	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-SEX	10	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-SEX	12	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-SEX	13	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-SEX	14	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-SEX	15	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-SEX	17	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-SEX	18	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-SEX	19	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-SEX	20	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-SEX	22	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-SEX	23	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-SEX	24	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-SEX	35	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-DRINKING	n/a	True	n/a	n/a	n/a
ds000009	CARE_POSCONS-DRINKING	3	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-DRINKING	4	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-DRINKING	5	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-DRINKING	6	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-DRINKING	8	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-DRINKING	9	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-DRINKING	10	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-DRINKING	11	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-DRINKING	12	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-DRINKING	13	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-DRINKING	15	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-DRINKING	21	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-SPORTS	n/a	True	n/a	n/a	n/a
ds000009	CARE_POSCONS-SPORTS	9	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-SPORTS	11	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-SPORTS	16	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-SPORTS	19	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-SPORTS	20	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-SPORTS	21	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-SPORTS	22	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-SPORTS	23	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-SPORTS	24	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-SPORTS	25	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-SPORTS	26	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-SPORTS	27	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-SPORTS	28	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-TOTAL	n/a	True	n/a	n/a	n/a
ds000009	CARE_POSCONS-TOTAL	64	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-TOTAL	65	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-TOTAL	66	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-TOTAL	68	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-TOTAL	72	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-TOTAL	79	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-TOTAL	83	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-TOTAL	85	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-TOTAL	150	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-TOTAL	89	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-TOTAL	92	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-TOTAL	93	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-TOTAL	95	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-TOTAL	126	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-TOTAL	39	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-TOTAL	112	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-TOTAL	52	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-TOTAL	56	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-TOTAL	58	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-TOTAL	59	False	n/a	n/a	n/a
ds000009	CARE_POSCONS-TOTAL	62	False	n/a	n/a	n/a
ds000009	NEED	n/a	True	n/a	n/a	n/a
ds000009	NEED	64	False	n/a	n/a	n/a
ds000009	NEED	70	False	n/a	n/a	n/a
ds000009	NEED	76	False	n/a	n/a	n/a
ds000009	NEED	77	False	n/a	n/a	n/a
ds000009	NEED	78	False	n/a	n/a	n/a
ds000009	NEED	79	False	n/a	n/a	n/a
ds000009	NEED	82	False	n/a	n/a	n/a
ds000009	NEED	83	False	n/a	n/a	n/a
ds000009	NEED	85	False	n/a	n/a	n/a
ds000009	NEED	87	False	n/a	n/a	n/a
ds000009	NEED	88	False	n/a	n/a	n/a
ds000009	NEED	89	False	n/a	n/a	n/a
ds000009	NEED	94	False	n/a	n/a	n/a
ds000009	NEED	95	False	n/a	n/a	n/a
ds000009	NEED	104	False	n/a	n/a	n/a
ds000009	NEED	106	False	n/a	n/a	n/a
ds000009	FOR	n/a	True	n/a	n/a	n/a
ds000009	FOR	0	False	n/a	n/a	n/a
ds000009	FOR	1	False	n/a	n/a	n/a
ds000009	FOR	2	False	n/a	n/a	n/a
ds000009	FOR	3	False	n/a	n/a	n/a
ds000009	COG_TOTAL	n/a	True	n/a	n/a	n/a
ds000009	COG_TOTAL	1	False	n/a	n/a	n/a
ds000009	COG_TOTAL	2	False	n/a	n/a	n/a
ds000009	COG_TOTAL	3	False	n/a	n/a	n/a
ds000009	COG_TOTAL	4	False	n/a	n/a	n/a
ds000009	COG_TOTAL	5	False	n/a	n/a	n/a
ds000009	COG_TOTAL	6	False	n/a	n/a	n/a
ds000009	COG	n/a	True	n/a	n/a	n/a
ds000009	COG	0	False	n/a	n/a	n/a
ds000009	COG	1	False	n/a	n/a	n/a
ds000009	COG	2	False	n/a	n/a	n/a
ds000009	COG	3	False	n/a	n/a	n/a
ds000009	REFLECTION_NUM	n/a	True	n/a	n/a	n/a
ds000009	REFLECTION_NUM	20	False	n/a	n/a	n/a
ds000009	REFLECTION_NUM	32	False	n/a	n/a	n/a
ds000009	REFLECTION_NUM	34	False	n/a	n/a	n/a
ds000009	REFLECTION_NUM	36	False	n/a	n/a	n/a
ds000009	REFLECTION_NUM	37	False	n/a	n/a	n/a
ds000009	REFLECTION_NUM	38	False	n/a	n/a	n/a
ds000009	REFLECTION_NUM	39	False	n/a	n/a	n/a
ds000009	REFLECTION_NUM	40	False	n/a	n/a	n/a
ds000009	REFLECTION_NUM	42	False	n/a	n/a	n/a
ds000009	REFLECTION_NUM	43	False	n/a	n/a	n/a
ds000009	REFLECTION_NUM	46	False	n/a	n/a	n/a
ds000009	REFLECTION_NUM	48	False	n/a	n/a	n/a
ds000009	REFLECTION_NUM	49	False	n/a	n/a	n/a
ds000009	REFLECTION_NUM	51	False	n/a	n/a	n/a
ds000009	REFLECTION_NUM	57	False	n/a	n/a	n/a
ds000009	REFLECTION_NUM	60	False	n/a	n/a	n/a
ds000009	REFLECTION_NUM	62	False	n/a	n/a	n/a
ds000009	CORR	n/a	True	n/a	n/a	n/a
ds000009	CORR	67	False	n/a	n/a	n/a
ds000009	CORR	70	False	n/a	n/a	n/a
ds000009	CORR	73	False	n/a	n/a	n/a
ds000009	CORR	12	False	n/a	n/a	n/a
